job_id,title,company,location,description,requirements,industry
FA-001,"Senior Manufacturing Engineer","Apex Manufacturing Solutions","Cincinnati, OH","We are looking for a Senior Manufacturing Engineer to lead process improvement initiatives across our high-volume production facility. You will own the end-to-end manufacturing process for precision machined components, from raw material receipt through final inspection. This role requires deep expertise in CNC machining operations, lean manufacturing principles, and statistical process control. You will work closely with quality and design engineering to implement DFM feedback loops and drive continuous improvement using Lean Six Sigma methodology. Our facility runs 24/7 with over 40 CNC machines and 6 robotic welding cells. The ideal candidate has a strong foundation in GD&T, fixture design, and root cause analysis. You will mentor junior engineers and interface with suppliers on tooling and raw material specifications.","- BS in Mechanical or Manufacturing Engineering
- 7+ years manufacturing engineering experience
- Expert in CNC machining and G-code programming
- SolidWorks proficiency required (CSWP preferred)
- Strong knowledge of GD&T per ASME Y14.5
- Lean Six Sigma Green Belt or Black Belt certification
- Experience with SPC and control charts
- Proficient in root cause analysis (8D, fishbone)
- Familiarity with ISO 9001 quality management systems
- PLC troubleshooting experience (Allen-Bradley preferred)","Factory Automation"
FA-002,"Automation Engineer","TechLine Industries","Milwaukee, WI","TechLine Industries is seeking an Automation Engineer to design, program, and commission automated manufacturing systems for our automotive parts division. You will develop PLC programs for new production lines, integrate industrial robotics (FANUC and ABB), and optimize existing automation for improved cycle time and reliability. The role involves working with pneumatic and hydraulic actuators, vision systems, and safety PLCs. You will collaborate with mechanical designers using SolidWorks to create cell layouts and ensure all systems meet OSHA and ANSI safety requirements. We value engineers who can troubleshoot on the factory floor and drive predictive maintenance strategies to minimize unplanned downtime.","- BS in Mechanical, Electrical, or Mechatronics Engineering
- 3+ years experience in industrial automation
- PLC programming required (Allen-Bradley ControlLogix/CompactLogix)
- Experience with FANUC or ABB robot programming
- Knowledge of pneumatics and hydraulics
- SolidWorks for cell layout and fixture design
- Understanding of lean manufacturing and 5S
- Familiarity with predictive maintenance concepts
- GD&T knowledge for tolerance verification
- Strong troubleshooting and root cause analysis skills","Factory Automation"
FA-003,"Process Engineer","Precision Automation Corp","Grand Rapids, MI","Precision Automation Corp is hiring a Process Engineer to optimize our injection molding and CNC machining operations. You will analyze production data using statistical process control methods, identify bottlenecks, and implement process improvements that reduce scrap and increase throughput. This position requires hands-on experience with mold design, CNC setup, and lean manufacturing tools including value stream mapping and kaizen events. You will document standard work procedures and train operators on new processes. Proficiency in SolidWorks for fixture and tooling design is essential. The role also involves working with our ERP system (SAP) to track production metrics and manage work orders.","- BS in Mechanical or Industrial Engineering
- 3-5 years process engineering in manufacturing
- Experience with injection molding and CNC machining
- SolidWorks proficiency for tooling design
- Knowledge of lean manufacturing (VSM, kaizen, 5S)
- SPC and statistical analysis skills
- Familiarity with ERP systems (SAP preferred)
- Understanding of GD&T
- Root cause analysis experience (5 Whys, fishbone)
- Six Sigma Green Belt preferred","Factory Automation"
FA-004,"Controls Engineer","NorthStar Factory Systems","Indianapolis, IN","NorthStar Factory Systems needs a Controls Engineer to design and implement PLC-based control systems for custom automated assembly lines. You will write ladder logic, structured text, and function block programs for Allen-Bradley and Siemens PLCs. The role includes HMI development, motion control programming, and integration of industrial robots into manufacturing cells. You must be comfortable working with electrical schematics, pneumatic circuits, and sensor networks. Our systems serve automotive, medical device, and consumer goods manufacturers. Knowledge of predictive maintenance, vibration analysis, and condition monitoring is a strong plus.","- BS in Electrical, Mechanical, or Mechatronics Engineering
- 4+ years PLC programming experience
- Allen-Bradley and/or Siemens PLC platforms
- Ladder logic, structured text, function block programming
- Experience with HMI/SCADA development
- Industrial robotics integration (FANUC, ABB, or KUKA)
- Pneumatics and hydraulics knowledge
- Ability to read electrical schematics
- Understanding of lean manufacturing principles
- Predictive maintenance and condition monitoring experience preferred","Factory Automation"
FA-005,"Quality Engineer","ProMach Engineering","Cleveland, OH","ProMach Engineering is seeking a Quality Engineer to lead inspection, audit, and corrective action processes in our precision machining facility. You will manage our ISO 9001 quality management system, conduct internal audits, and drive continuous improvement through DFMEA reviews, SPC implementation, and root cause analysis. This role requires strong knowledge of GD&T for interpreting engineering drawings and verifying CNC machined part dimensions using CMM equipment. You will interface with customers on quality issues and lead 8D corrective action responses. Experience with Lean Six Sigma methodology is highly valued for process capability improvement projects.","- BS in Mechanical or Industrial Engineering
- 3+ years quality engineering in manufacturing
- ISO 9001 QMS management experience
- Expert in GD&T and CMM inspection
- DFMEA and PFMEA facilitation
- Root cause analysis (8D methodology)
- SPC and process capability analysis (Cpk/Ppk)
- Lean Six Sigma Green Belt certification preferred
- SolidWorks for drawing review
- ERP system experience for quality tracking","Factory Automation"
FA-006,"CNC Programmer","Heartland Machining","Dayton, OH","Heartland Machining is looking for an experienced CNC Programmer to develop programs for our fleet of 3-axis and 5-axis CNC milling and turning centers. You will create efficient toolpaths using Mastercam, optimize feeds and speeds for various materials (aluminum, steel, titanium), and set up first-article runs. The role requires reading and interpreting engineering drawings with GD&T callouts, selecting appropriate tooling, and working with the quality team on SPC data collection for critical dimensions. You will also support fixture design in SolidWorks and coordinate with the engineering team on DFM feedback for new part designs.","- 5+ years CNC programming experience (milling and turning)
- Proficiency in Mastercam or equivalent CAM software
- Strong knowledge of G-code and M-code
- GD&T interpretation per ASME Y14.5
- SolidWorks for fixture and tooling design
- SPC data collection and analysis
- DFM/DFA feedback capability
- Experience with aluminum, steel, and titanium machining
- Lean manufacturing awareness (setup reduction, 5S)
- ISO 9001 environment experience","Factory Automation"
FA-007,"Industrial Engineer","Summit Production Group","Charlotte, NC","Summit Production Group is hiring an Industrial Engineer to improve production efficiency across our multi-line consumer goods manufacturing facility. You will conduct time studies, develop facility layouts using AutoCAD, and implement lean manufacturing initiatives including 5S, standard work, and visual management. The role involves analyzing production data in our ERP system, building capacity models, and leading kaizen events. You will work with automation engineers on PLC-controlled line improvements and coordinate with quality on SPC implementation. Python scripting skills for data analysis are a strong plus.","- BS in Industrial or Mechanical Engineering
- 2-4 years industrial engineering experience
- AutoCAD for facility layout and floor planning
- Lean manufacturing tools (5S, VSM, kaizen, standard work)
- Time study and work measurement expertise
- ERP system proficiency (SAP or Oracle)
- PLC systems awareness for line troubleshooting
- SPC and process improvement methodology
- Python or Excel VBA for data analysis preferred
- Project management skills","Factory Automation"
FA-008,"Maintenance Engineer","Automated Assembly Inc","Pittsburgh, PA","Automated Assembly Inc is seeking a Maintenance Engineer to lead our preventive and predictive maintenance programs across a facility with 200+ pieces of automated equipment. You will implement vibration analysis, thermal imaging, and oil analysis programs to predict equipment failures before they occur. The role includes PLC troubleshooting for Allen-Bradley and Siemens controllers, hydraulic and pneumatic system repair, and coordination with OEMs on spare parts management. You must be comfortable with electrical systems, motor drives, and conveyor systems. Experience with CMMS software and lean manufacturing TPM (Total Productive Maintenance) methodology is required.","- BS in Mechanical or Electrical Engineering (or equivalent experience)
- 5+ years maintenance engineering in manufacturing
- PLC troubleshooting (Allen-Bradley, Siemens)
- Predictive maintenance (vibration analysis, thermography)
- Hydraulic and pneumatic system repair
- Electrical systems and motor drive knowledge
- CMMS software experience
- Lean manufacturing TPM methodology
- Root cause analysis for equipment failures
- Familiarity with ISO 9001 requirements","Factory Automation"
FA-009,"Robotics Integration Engineer","AutoBot Systems","Greenville, SC","AutoBot Systems designs and builds turnkey robotic automation solutions for manufacturers nationwide. We are hiring a Robotics Integration Engineer to program and commission FANUC and ABB industrial robots for welding, material handling, and assembly applications. You will design end-of-arm tooling in SolidWorks, write PLC programs for cell control, and develop robot motion paths that optimize cycle time. The position requires travel to customer sites for installation and commissioning. Knowledge of safety systems, pneumatics, and lean manufacturing cell layout principles is essential.","- BS in Mechanical, Electrical, or Robotics Engineering
- 3+ years industrial robot programming (FANUC or ABB)
- PLC programming (Allen-Bradley preferred)
- SolidWorks for EOAT and fixture design
- Pneumatic system design and troubleshooting
- Safety PLC and risk assessment knowledge
- GD&T for part verification
- Lean manufacturing cell layout principles
- Willingness to travel 30-40%
- Strong mechanical troubleshooting skills","Factory Automation"
FA-010,"Lean Manufacturing Engineer","Kaizen Works Manufacturing","Kansas City, MO","Kaizen Works Manufacturing is looking for a Lean Manufacturing Engineer to drive waste elimination and continuous improvement across our 3 production facilities. You will lead kaizen events, implement 5S programs, develop value stream maps, and coach production teams on lean principles. This role requires strong data analysis skills — you will use SPC, OEE tracking, and our ERP system to measure improvement impact. Six Sigma Green Belt certification is required. You will also support automation projects involving PLC-controlled systems and work with engineering on DFM reviews for new product introductions.","- BS in Industrial or Mechanical Engineering
- 3-5 years lean manufacturing experience
- Lean Six Sigma Green Belt certification required
- Kaizen facilitation and value stream mapping
- 5S implementation and audit experience
- SPC and OEE analysis
- ERP system proficiency
- PLC systems awareness
- DFM/DFA review capability
- Strong presentation and coaching skills","Factory Automation"
