job_id,title,company,location,description,requirements,industry
AR-001,"Senior Aerospace Structural Engineer","AeroVista Dynamics","Huntsville, AL","AeroVista Dynamics is seeking a Senior Aerospace Structural Engineer to lead structural analysis and design of launch vehicle components. You will perform FEA using ANSYS Mechanical for static, dynamic, and buckling load cases on primary and secondary structures. CATIA V5 is our primary CAD tool for detailed part and assembly modeling. The role requires deep expertise in GD&T per ASME Y14.5, fatigue analysis, and composite materials. You will generate stress reports per AS9100 documentation requirements and mentor junior stress engineers. Systems engineering knowledge is critical for interface load management across vehicle subsystems.","- BS in Aerospace or Mechanical Engineering (MS preferred)
- 8+ years structural analysis experience
- ANSYS Mechanical expert
- CATIA V5 for CAD modeling
- FEA for static, dynamic, and buckling analysis
- GD&T per ASME Y14.5
- Fatigue analysis and damage tolerance
- Composite structures (CFRP, honeycomb)
- AS9100 documentation standards
- Systems engineering for interface loads","Aerospace/Robotics"
AR-002,"UAV Design Engineer","NovaDrone Technologies","San Diego, CA","NovaDrone Technologies designs next-generation autonomous drones for commercial inspection and delivery. We are hiring a UAV Design Engineer to develop airframe structures, mechanism designs, and payload integration solutions. SolidWorks is our primary CAD platform. You will perform structural FEA using ANSYS, CFD for aerodynamic optimization, and lightweight optimization to maximize flight endurance. The role involves GD&T documentation, DFM review for CNC and composite manufacturing, and close collaboration with our flight software team. Experience with ROS2 for hardware-software integration is a strong plus.","- BS in Aerospace or Mechanical Engineering
- 3-5 years UAV or small aircraft design
- SolidWorks proficiency required
- FEA using ANSYS for structural validation
- CFD for aerodynamic analysis
- Lightweight optimization (topology/generative design)
- Composites (carbon fiber layup design)
- GD&T per ASME Y14.5
- DFM for CNC and composite manufacturing
- ROS2 for hardware-software integration preferred","Aerospace/Robotics"
AR-003,"Propulsion Engineer","Skyward Propulsion","Hawthorne, CA","Skyward Propulsion develops liquid and solid rocket propulsion systems for commercial launch vehicles. We need a Propulsion Engineer to design turbopump components, perform thermal analysis of combustion chambers, and validate designs through FEA and testing. CATIA V6 is used for CAD modeling, and ANSYS Fluent for CFD of internal flow paths. You will work with materials engineers on high-temperature alloy selection and document designs per AS9100. GD&T expertise is required for tight-tolerance rotating components. This is a fast-paced NewSpace environment where you will own designs from concept through hot-fire testing.","- BS in Aerospace or Mechanical Engineering (MS preferred)
- 3+ years propulsion or turbomachinery experience
- CATIA V5/V6 for component modeling
- ANSYS Fluent for CFD analysis
- FEA for thermal and structural analysis
- GD&T for rotating components
- High-temperature materials knowledge
- AS9100 documentation
- Thermal analysis of combustion systems
- Test planning and data analysis","Aerospace/Robotics"
AR-004,"Robotics Systems Engineer","Atlas Robotics","Pittsburgh, PA","Atlas Robotics builds collaborative robots for manufacturing and logistics applications. We are seeking a Robotics Systems Engineer to design mechanical systems, integrate sensors, and develop control algorithms. SolidWorks is used for robot arm design, and FEA in ANSYS validates structural integrity under dynamic loading. You will program robot behaviors in ROS2 using Python and C++, implement path planning algorithms, and test in simulation before hardware deployment. The role requires systems engineering thinking to manage mechanical, electrical, and software interfaces. GD&T documentation ensures manufacturing precision.","- BS in Mechanical or Robotics Engineering (MS preferred)
- 3+ years robotics systems experience
- SolidWorks for mechanical design
- FEA in ANSYS for dynamic analysis
- ROS2 programming (Python and C++)
- Path planning and motion control
- Systems engineering for multi-domain integration
- GD&T per ASME Y14.5
- Sensor integration (force/torque, vision)
- Simulation and testing methodology","Aerospace/Robotics"
AR-005,"Thermal Engineer - Spacecraft","Helios Space Systems","Houston, TX","Helios Space Systems designs thermal control systems for satellites and deep-space probes. We need a Thermal Engineer to develop thermal models, perform thermal analysis using ANSYS and MATLAB, and design passive and active thermal control hardware. You will model orbital thermal environments, predict component temperatures during mission phases, and specify heaters, thermostats, and MLI blankets. CATIA is used for thermal hardware CAD modeling. The role requires AS9100 documentation, GD&T for thermal interface specifications, and systems engineering coordination with other subsystem teams.","- BS in Aerospace or Mechanical Engineering (MS preferred)
- 3+ years spacecraft thermal engineering
- Thermal analysis using ANSYS and/or Thermal Desktop
- MATLAB for thermal modeling and simulation
- CATIA for thermal hardware design
- Passive and active thermal control design
- Orbital thermal environment modeling
- GD&T for thermal interfaces
- AS9100 documentation
- Systems engineering for subsystem coordination","Aerospace/Robotics"
AR-006,"Stress Engineer","Apex Aerostructures","Wichita, KS","Apex Aerostructures manufactures wing and fuselage components for commercial aircraft. We are hiring a Stress Engineer to perform structural analysis of metallic and composite aerostructures. You will use ANSYS and Nastran for FEA, calculate margins of safety, and generate stress reports per aerospace standards. CATIA V5 is the primary CAD tool. The role requires expertise in fatigue analysis, damage tolerance, and composite failure criteria (Tsai-Wu, Hashin). GD&T interpretation is essential for understanding part manufacturing constraints. Technical writing skills are needed for producing formal stress reports.","- BS in Aerospace or Mechanical Engineering
- 4+ years stress analysis experience
- ANSYS and/or MSC Nastran for FEA
- CATIA V5 for geometry interpretation
- Fatigue and damage tolerance analysis
- Composite failure analysis (Tsai-Wu, Hashin)
- GD&T per ASME Y14.5
- AS9100 stress report documentation
- Structural analysis hand calculations
- Technical writing for formal reports","Aerospace/Robotics"
AR-007,"Flight Systems Mechanical Engineer","Orion Defense Systems","Colorado Springs, CO","Orion Defense Systems develops advanced flight systems for defense applications. We need a Flight Systems Mechanical Engineer to design mechanical assemblies for guidance, navigation, and control hardware. SolidWorks and CATIA are used for CAD modeling. You will perform FEA for vibration and shock qualification using ANSYS, design for extreme environments (-40C to +85C), and manage tolerance stack-ups across complex assemblies. GD&T documentation per ASME Y14.5 is mandatory. The role requires systems engineering for managing interfaces between mechanical, electrical, and software subsystems.","- BS in Mechanical or Aerospace Engineering
- 5+ years flight hardware mechanical design
- SolidWorks and/or CATIA
- ANSYS FEA for vibration and shock
- Thermal analysis for extreme environments
- GD&T per ASME Y14.5
- Tolerance stack-up analysis
- Systems engineering for interface management
- AS9100 compliance
- US Citizenship required (defense projects)","Aerospace/Robotics"
AR-008,"Robotics Software Engineer","TerraBot Automation","Boston, MA","TerraBot Automation develops mobile robots for warehouse automation. We need a Robotics Software Engineer to implement navigation, perception, and manipulation algorithms. You will write C++ and Python code within the ROS2 framework, develop SLAM algorithms, and integrate LIDAR and camera sensors. The role bridges software and mechanical engineering — you will work closely with the mechanical design team (SolidWorks) to ensure sensor mounting and cable routing are robust. Understanding of structural analysis for robot chassis design and systems engineering for full-stack integration is valuable.","- BS in Robotics, Mechanical, or Computer Engineering (MS preferred)
- 3+ years robotics software development
- C++ and Python proficiency
- ROS2 framework experience
- SLAM and path planning algorithms
- Sensor integration (LIDAR, cameras, IMU)
- SolidWorks familiarity for mechanical interface
- Systems engineering mindset
- Simulation tools (Gazebo, Isaac Sim)
- Strong debugging and testing skills","Aerospace/Robotics"
AR-009,"Composite Structures Engineer","AeroCraft Composites","Seattle, WA","AeroCraft Composites specializes in advanced composite structures for aerospace applications. We are hiring a Composite Structures Engineer to design carbon fiber and fiberglass structures, develop layup schedules, and perform structural analysis. SolidWorks and CATIA are used for ply modeling and tool design. FEA in ANSYS validates structural performance under flight loads. You will conduct fatigue analysis, apply composite failure criteria, and document designs per AS9100. GD&T for composite part specifications requires understanding of manufacturing variability. DFM review for autoclave and out-of-autoclave processes is essential.","- BS in Aerospace or Mechanical Engineering
- 3+ years composite structures experience
- SolidWorks and/or CATIA for ply modeling
- ANSYS FEA for composite analysis
- Composite failure criteria (Tsai-Wu, max strain)
- Fatigue analysis for composite structures
- GD&T for composite parts
- AS9100 documentation
- DFM for autoclave and OOA processes
- Laminate analysis (classical lamination theory)","Aerospace/Robotics"
AR-010,"Mechanisms Engineer","StarPath Mechanisms","Denver, CO","StarPath Mechanisms designs deployment mechanisms for solar arrays, antennas, and booms on satellites and spacecraft. We need a Mechanisms Engineer to design, analyze, and test mechanical deployment systems. CATIA V5 is used for detailed mechanism design. You will perform FEA in ANSYS for structural qualification, conduct kinematic analysis in MATLAB, and design test fixtures. GD&T is critical for precision mechanism components. The role requires fatigue and tribology knowledge for space-rated bearings and hinges. AS9100 documentation and systems engineering for mechanism interface management are core responsibilities. Technical writing skills for test reports are essential.","- BS in Mechanical or Aerospace Engineering
- 4+ years mechanism design experience
- CATIA V5 for mechanism modeling
- ANSYS FEA for structural qualification
- MATLAB for kinematic and dynamic analysis
- GD&T per ASME Y14.5
- Fatigue analysis for mechanism components
- Space tribology and bearing design
- AS9100 documentation
- Systems engineering and technical writing","Aerospace/Robotics"
