job_id,title,company,location,description,requirements,industry
EV-001,"Senior Battery Systems Engineer","VoltDrive Motors","Detroit, MI","VoltDrive Motors is seeking a Senior Battery Systems Engineer to lead the design and development of next-generation lithium-ion battery packs for our flagship EV sedan platform. You will own the full lifecycle from concept through production launch, working closely with our thermal management and vehicle integration teams. This role demands deep expertise in cell-to-pack architecture, high-voltage safety interlocks, and Battery Management Systems (BMS) tuning. You will develop detailed 3D models in SOLIDWORKS and perform structural analysis using ANSYS to validate pack enclosure designs under crash and vibration loading. The ideal candidate thrives in a fast-paced environment where cross-functional collaboration is the norm. You will interface with suppliers for cell procurement, author DFMEA documents, and support prototype builds at our Detroit pilot facility. We value engineers who bring both analytical rigor and creative problem-solving to the table. Our team is growing rapidly as we prepare for SOP in Q3 2027, and this is an opportunity to shape the future of American EV manufacturing from the ground up.","- BS or MS in Mechanical Engineering or related field\n- 7+ years of experience in battery pack design for electric vehicles\n- Expert-level proficiency in SOLIDWORKS; CSWP certification preferred\n- Strong understanding of GD&T per ASME Y14.5\n- Experience with Finite Element Analysis (FEA) using ANSYS or similar tools\n- Working knowledge of BMS hardware and software integration\n- Familiarity with DFMEA and APQP processes\n- Experience with thermal analysis of battery systems\n- Excellent technical writing and documentation skills\n- Ability to travel domestically up to 15%",EV/Automotive
EV-002,"EV Powertrain Design Engineer","Apex EV Systems","Palo Alto, CA","Apex EV Systems is a venture-backed startup building the next wave of high-performance electric powertrains for commercial fleet vehicles. We are looking for a Powertrain Design Engineer to join our small but mighty engineering team in Palo Alto. You will design electric powertrain components including motor housings, gearbox assemblies, and driveshaft interfaces. Our stack is SOLIDWORKS for CAD, MATLAB/Simulink for system modeling, and Python scripts for data post-processing. You will perform tolerance stack-up analysis to ensure robust assemblies and apply DFM/DFA principles to keep our bill of materials lean. This is a hands-on role where you will spend time on the shop floor working alongside technicians during prototype builds. We move fast, ship often, and believe great engineering comes from tight feedback loops between design and test. If you are tired of big-company bureaucracy and want to see your work on the road within months instead of years, this is your gig. Competitive salary, meaningful equity, and unlimited PTO.","- BS in Mechanical Engineering; MS preferred\n- 3-5 years of experience in electric powertrain or drivetrain design\n- Proficiency in SOLIDWORKS and AutoCAD\n- Strong grasp of GD&T and tolerance stack-up analysis\n- Experience with MATLAB and Simulink for system-level modeling\n- Knowledge of DFM/DFA and design for manufacturing best practices\n- Familiarity with FEA tools for structural analysis\n- Python scripting ability for data analysis and automation\n- Understanding of CAN bus communication protocols\n- Self-starter mentality comfortable in a startup environment",EV/Automotive
EV-003,"Thermal Management Engineer","ChargePoint Engineering","Fremont, CA","ChargePoint Engineering is hiring a Thermal Management Engineer to design and optimize cooling systems for our next-generation EV battery packs and power electronics. In this role, you will develop thermal models using ANSYS Fluent and conduct CFD simulations to evaluate coolant flow distribution, heat exchanger performance, and cold plate designs. You will also perform thermal analysis on inverter and onboard charger assemblies to ensure components remain within safe operating temperatures across all drive cycles. Collaboration is central to this position. You will work with battery engineers on BMS thermal integration, with the vehicle team on HVAC load balancing, and with manufacturing on DFM considerations for brazed aluminum cold plates. The ideal candidate has a strong foundation in heat transfer fundamentals and enjoys bridging the gap between simulation and physical testing. Our Fremont lab has a full suite of thermal chambers and dynamometers, so you will validate your models against real-world data regularly. We are a growing team with a culture that rewards intellectual curiosity and technical depth.","- MS in Mechanical Engineering with focus on thermal/fluids\n- 4+ years of thermal management experience in automotive or EV applications\n- Proficiency in ANSYS Fluent or similar CFD tools\n- Experience with thermal analysis of battery packs and power electronics\n- Strong CAD skills in SOLIDWORKS or CATIA\n- Understanding of GD&T and tolerance analysis\n- Familiarity with Battery Management Systems and thermal runaway mitigation\n- Knowledge of FEA methods for thermo-mechanical stress analysis\n- MATLAB proficiency for data processing and model correlation\n- Experience with DFM for thermal system components",EV/Automotive
EV-004,"Chassis Design Engineer","Meridian Auto Group","Dearborn, MI","Meridian Auto Group, a Tier 1 supplier to major OEMs, is looking for a Chassis Design Engineer to support the design and release of suspension and subframe components for electric vehicle platforms. You will create detailed part and assembly models in CATIA V5, generate production-intent drawings with proper GD&T callouts, and work with our FEA team to ensure structural integrity under static and dynamic load cases. This role is heavily focused on sheet metal and stamped component design, so experience with forming simulation and DFM for stamping processes is essential. You will also participate in DFMEA reviews and support APQP deliverables for program milestones. Our Dearborn office sits at the heart of the American auto industry, and you will collaborate daily with OEM customer engineering teams. We offer a structured career development path, tuition reimbursement, and a hybrid work schedule. If you want to work on EV platforms that will be on roads across North America, Meridian is the place to grow your career.","- BS in Mechanical Engineering\n- 5+ years of chassis or body structure design experience\n- Expert proficiency in CATIA V5/V6\n- Strong knowledge of GD&T per ASME Y14.5\n- Experience with sheet metal design and stamping processes\n- Understanding of FEA for structural and fatigue analysis\n- Familiarity with DFMEA, APQP, and PPAP processes\n- Knowledge of IATF 16949 quality management standards\n- AutoCAD experience for legacy drawing support\n- Excellent communication and cross-functional collaboration skills",EV/Automotive
EV-005,"Battery Pack Mechanical Engineer","NovaBattery Corp","Austin, TX","NovaBattery Corp designs and manufactures battery modules and packs for the EV industry. We are looking for a Battery Pack Mechanical Engineer to join our Austin team. You will be responsible for the mechanical design of battery enclosures, module frames, busbar assemblies, and thermal interface materials. Your day-to-day will involve 3D modeling in SOLIDWORKS, running FEA simulations for vibration and shock load cases, and working with our testing lab to correlate simulation results with physical test data. You should have solid experience with GD&T, tolerance stack-up analysis, and design for manufacturing. Knowledge of Battery Management Systems is a plus since you will interface closely with our electrical engineering team on sensor placement and harness routing. We are a mid-size company with the agility of a startup and the stability of established OEM contracts. Our Austin facility features state-of-the-art prototyping capabilities including 3D printing for rapid iteration on bracket and housing concepts. If you are passionate about energy storage and want to work with a team that ships real products, we want to hear from you.","- BS in Mechanical Engineering or equivalent\n- 3-7 years of battery pack or module mechanical design experience\n- Proficiency in SOLIDWORKS; Fusion 360 experience a bonus\n- Strong understanding of GD&T and tolerance stack-up\n- FEA experience (ANSYS or SolidWorks Simulation)\n- Knowledge of DFM/DFA principles\n- Familiarity with BMS integration and high-voltage safety\n- Experience with 3D printing and additive manufacturing for prototyping\n- Understanding of thermal analysis for battery systems\n- MATLAB or Python skills for data analysis",EV/Automotive
EV-006,"EV Motor Design Engineer","TorqueWave Technologies","San Jose, CA","TorqueWave Technologies is pushing the boundaries of electric motor design for high-performance EV applications. We need a Motor Design Engineer who can take concepts from electromagnetic simulation through detailed mechanical design to production release. You will work on interior permanent magnet (IPM) and switched reluctance motor topologies, designing rotor and stator assemblies, bearing systems, and motor housings. SOLIDWORKS is our primary CAD platform, but you will also use MATLAB and Simulink for motor performance modeling and control algorithm validation. Thermal analysis is critical in this role since our motors operate at extreme power densities, and you will use both analytical methods and ANSYS to predict temperature distributions under continuous and peak torque conditions. We value lightweight optimization and expect you to apply topology optimization techniques to reduce mass without sacrificing structural integrity. Our San Jose office has a collaborative open-floor layout, daily standups, and a culture that blends rigorous engineering with Silicon Valley speed. Join us and help define what the next generation of EV propulsion looks like.","- MS or PhD in Mechanical or Electrical Engineering\n- 5+ years of electric motor design experience\n- Proficiency in SOLIDWORKS and AutoCAD\n- Strong background in thermal analysis and FEA\n- Experience with MATLAB/Simulink for motor modeling\n- Knowledge of GD&T for precision rotating assemblies\n- Understanding of DFM for lamination stacking and winding processes\n- Familiarity with vibration analysis and NVH considerations\n- Experience with lightweight optimization and topology optimization\n- Python scripting skills for simulation automation",EV/Automotive
EV-007,"Vehicle Integration Engineer","ElectraFleet Inc.","Nashville, TN","ElectraFleet Inc. is electrifying last-mile delivery. Our Nashville engineering center is hiring a Vehicle Integration Engineer to coordinate the mechanical integration of battery, powertrain, chassis, and body systems into our Class 3-5 electric delivery trucks. This is a cross-functional role where you will manage interface definitions, resolve packaging conflicts, and ensure all subsystems work together harmoniously. You will use SOLIDWORKS and AutoCAD for packaging studies and maintain our master vehicle BOM. Strong project management skills are a must since you will track integration milestones across multiple programs simultaneously. Understanding of CAN bus architecture is important as you will work with the controls team on network topology and signal routing. You will also support vehicle-level DFMEA activities and participate in design reviews with our manufacturing plant in Chattanooga. This is not a desk-only job. You will spend time at our prototype shop and test track, so bring your steel-toed boots and a willingness to get hands-on. We offer competitive compensation, relocation assistance, and the chance to decarbonize freight transportation.","- BS in Mechanical or Automotive Engineering\n- 4-8 years of vehicle integration or systems engineering experience\n- Proficiency in SOLIDWORKS and AutoCAD\n- Understanding of GD&T and tolerance management\n- Experience with CAN bus and vehicle communication networks\n- Knowledge of DFMEA and systems engineering (MBSE) principles\n- Project management experience; PMP or Agile certification a plus\n- Familiarity with electric powertrain components and BMS\n- Strong technical writing and documentation skills\n- Willingness to travel between Nashville and Chattanooga facilities",EV/Automotive
EV-008,"Suspension Engineer","PinnacleDrive Automotive","Detroit, MI","PinnacleDrive Automotive is developing a clean-sheet EV skateboard platform and we need a talented Suspension Engineer to design our front and rear suspension systems. You will be responsible for kinematic and compliance (K&C) analysis, component design, and hardware specification for control arms, knuckles, springs, dampers, and stabilizer bars. We use CATIA V5 for CAD and ADAMS for multi-body dynamics simulation. Structural analysis using FEA is a core part of the role, and you will work closely with our durability team to ensure components meet fatigue life targets under customer usage profiles. Strong knowledge of GD&T is required for creating production-intent drawings that our suppliers can quote and manufacture. You should also be comfortable with DFM considerations for forged and cast aluminum suspension components. Familiarity with regenerative braking system integration is a bonus since suspension tuning must account for regen torque effects on vehicle dynamics. We are based in Detroit and offer a hybrid work model with three days per week on-site.","- BS or MS in Mechanical Engineering\n- 5+ years of suspension design experience in automotive\n- Proficiency in CATIA V5 or SOLIDWORKS\n- Experience with FEA for structural and fatigue analysis\n- Strong GD&T knowledge per ASME Y14.5\n- Understanding of vehicle dynamics and K&C analysis\n- Familiarity with ADAMS or similar MBD tools\n- Knowledge of DFM for casting and forging processes\n- Experience with vibration analysis and ride comfort tuning\n- Understanding of regenerative braking and its effect on suspension loads",EV/Automotive
EV-009,"Body-in-White Engineer","SteelArc Manufacturing","Toledo, OH","SteelArc Manufacturing is a leading body structure supplier seeking a Body-in-White (BIW) Engineer for our Toledo facility. You will design and optimize structural body components including A/B/C pillars, rocker panels, floor pans, and cross members for EV platforms. Weight reduction is a critical focus area, and you will apply lightweight optimization strategies using advanced high-strength steels and multi-material joining techniques. Your toolbox will include SOLIDWORKS for design, AutoCAD for plant layouts, and FEA tools for crash and stiffness analysis. This role requires deep knowledge of sheet metal forming, including stamping, roll forming, and hydroforming processes. You will collaborate with die engineering on DFM feasibility studies and support launch activities on the shop floor. IATF 16949 and ISO 9001 quality systems knowledge is expected, as is experience with APQP deliverables. Toledo has a rich automotive heritage, and SteelArc has been part of it for over 40 years. We offer excellent benefits including a pension plan and on-site fitness center.","- BS in Mechanical Engineering\n- 6+ years of BIW or body structure design experience\n- Proficiency in SOLIDWORKS and AutoCAD\n- Strong FEA skills for crash and stiffness analysis\n- Expert knowledge of GD&T\n- Extensive experience with sheet metal design and stamping processes\n- Understanding of IATF 16949 and ISO 9001 quality systems\n- Familiarity with APQP and PPAP processes\n- Knowledge of lightweight optimization and advanced materials\n- Lean manufacturing experience (kaizen, 5S) preferred",EV/Automotive
EV-010,"NVH Engineer","QuietRide EV Labs","Irvine, CA","QuietRide EV Labs specializes in noise, vibration, and harshness engineering for premium electric vehicles. We are hiring an NVH Engineer to support our growing portfolio of OEM consulting projects. EVs present unique NVH challenges since the absence of engine masking noise makes other sources like gear whine, road noise, and HVAC more perceptible. You will conduct vibration analysis on body structures, powertrain mounts, and suspension components using a combination of experimental modal analysis and FEA simulation. Your work in SOLIDWORKS will focus on designing isolation mounts, acoustic barriers, and structural reinforcements. You will use MATLAB for signal processing and transfer path analysis, and Python for automating data acquisition workflows. Familiarity with CAN bus data logging is helpful for correlating in-vehicle measurements with operating conditions. We are a small, specialized team that works directly with some of the biggest names in the EV space, so you will have exposure to cutting-edge platforms and technologies. Our Irvine office is a short drive from the beach, and we believe in work-life balance alongside engineering excellence.","- MS in Mechanical Engineering with emphasis on dynamics/acoustics\n- 3-6 years of NVH engineering experience, preferably in EV or automotive\n- Proficiency in SOLIDWORKS\n- Strong FEA skills for modal and frequency response analysis\n- Experience with vibration analysis and experimental modal testing\n- MATLAB proficiency for signal processing and data analysis\n- Python programming skills\n- Knowledge of GD&T\n- Familiarity with CAN bus data acquisition\n- Understanding of thermal analysis effects on NVH (thermal expansion impacts)",EV/Automotive
